group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
K2-29 b,1,3.2588321,0.066,0.58,2.22,,0.14188,86.656,10.51,13.33871,0.04217,1171.0,,5358.0,4.54,0.16,0.86,0.94
K2-290 b,1,9.21165,0.0,0.438,4.96,,0.019,88.14,13.15,3.06,0.0923,1230.0,,6302.0,4.23,-0.06,1.511,1.194
K2-290 c,1,48.36685,0.0,0.474,8.14,,0.06848,89.37,43.5,11.276254,0.305,676.0,,6302.0,4.23,-0.06,1.511,1.194
K2-291 b,1,2.225177,0.0,0.646,1.719,,0.01614,85.26,7.7942,1.589,0.03261,,633.0,5520.0,4.5,0.08,0.899,0.934
K2-292 b,1,16.9841,0.04,0.68,3.66,,0.022,88.4,25.9,2.63,0.13,795.0,67.0,5725.0,4.33,0.07,1.09,1.0
K2-293 b,1,13.1225,,0.47,3.98,,0.0228,88.8,22.9,2.45,,750.0,,5532.0,4.52,0.218,0.947,0.958
K2-294 b,1,2.50387,,0.51,2.6,,0.01262,85.5,6.49,1.66,,1425.0,,5612.0,4.2,0.194,1.2,0.987
K2-295 b,1,4.024867,0.0,0.17,2.4984,,0.1304,89.3,13.76,10.054473,0.0451,852.0,,4444.0,4.63,0.14,0.7,0.74
K2-3 b,1,10.0546535,0.107,0.31,,,0.0349,89.4,29.44,2.078,0.0747,501.3,10.5,3844.0,4.704,-0.157,0.546,0.549
K2-3 c,1,24.646729,0.048,0.14,,,0.02658,89.84,53.5,1.582,0.1357,371.8,3.17,3844.0,4.704,-0.157,0.546,0.549
K2-3 d,1,44.55603,0.091,0.24,,,0.02449,89.82,79.4,1.458,0.2014,305.2,1.44,3844.0,4.704,-0.157,0.546,0.549
K2-30 b,1,4.098503,0.0,0.662,2.3208,16030.0,0.1266,86.92,12.34,11.646151,0.04839,1092.0,,5425.0,4.54,-0.15,0.844,0.9
K2-308 b,1,3.38628,,0.21,3.09,,0.0742,88.44,7.94,9.916,,,,6100.0,3.94,-0.1,1.24,1.09
K2-31 b,1,1.25785,0.0,0.975,0.9816,,0.135,79.9,6.05,11.88154,0.022,,,5280.0,4.6,0.08,0.78,0.91
K2-312 c,1,921.2,0.853,,,,,,,,1.961,,,5959.0,,0.255,1.22,1.18
K2-315 b,1,3.1443189,,0.565,0.821,,0.0444,88.74,25.72,0.95,,460.0,7.45,3300.0,5.094,-0.24,0.196,0.174
K2-316 b,1,1.133,,0.43,,956.9999999999999,,87.02,,1.33,0.0147,841.0,,3436.0,4.891,,0.379,0.408
K2-316 c,1,5.26,,0.4,,2480.0,,89.31,,1.83,0.0582,423.0,,3436.0,4.891,,0.379,0.408
K2-317 b,1,6.22,,0.43,,1190.0,,89.22,,2.93,0.0542,432.0,,3387.0,4.885,,0.379,0.403
K2-318 b,1,7.01,,0.4,,850.0000000000001,,89.38,,1.66,0.0911,456.0,,3851.0,4.701,,0.552,0.561
K2-319 b,1,26.68,,0.35,,830.0,,89.45,,2.79,0.1516,641.0,,5440.0,4.512,,0.898,0.954
K2-32 b,1,8.992,0.03,0.34,3.488,,0.05642,89.0,19.86,5.299,0.0795,837.0,,5271.0,4.49,-0.06,0.86,0.83
K2-32 c,1,20.66093,0.049,0.37,4.35,,0.03342,89.4,34.58,3.134,0.13843,634.0,,5271.0,4.49,-0.06,0.86,0.83
K2-32 d,1,31.71701,0.05,0.46,4.888,,0.03704,89.4,46.02,3.484,0.18422,550.0,,5271.0,4.49,-0.06,0.86,0.83
K2-32 e,1,4.34934,0.043,0.22,2.671,,0.01294,89.0,12.24,1.212,0.04899,1066.0,,5271.0,4.49,-0.06,0.86,0.83
K2-320 b,1,1.995,,0.49,,5570.000000000001,,87.84,,2.62,0.0142,698.0,,3157.0,4.55,,0.3,0.117
K2-321 b,1,2.2979749,0.44,0.47,1.1472,992.0,0.0315,86.1,10.25,2.05124347,0.02839,830.0,,3750.0,4.65,0.148,0.595,0.578
K2-322 b,1,8.205,,0.68,,709.9999999999999,,88.15,,1.92,0.0594,635.0,,4141.0,4.677,,0.602,0.63
K2-323 b,1,24.93,,0.14,,2630.0,,89.88,,2.1,0.1275,318.0,,3710.0,4.63,,0.549,0.478
K2-324 b,1,3.262,,0.42,,1990.0,,88.33,,2.43,0.0331,707.0,,3752.0,4.743,,0.505,0.517
K2-325 b,1,6.93,,0.34,,6720.0,,89.37,,2.2,0.0419,423.0,,3287.0,4.84,,0.298,0.274
K2-326 b,1,1.256,,0.48,,921.0,,85.63,,2.28,0.0198,1114.0,,3924.0,4.462,,0.688,0.507
K2-329 b,1,12.4551225,0.0697,0.364,3.621,,0.09679,89.22,26.62,8.675766,0.1016,650.0,45.7,5282.0,4.566,0.098,0.822,0.901
K2-33 b,1,5.424865,0.0,0.16,4.08,,0.0432,89.1,10.4,5.04,,,,3540.0,,,1.05,0.56
K2-330 b,1,13.774798,,0.38,4.57,,0.0169,,21.76,2.77,,969.0,,6232.0,4.18,-0.03,1.5,1.23
K2-331 b,1,9.398977,,0.43,3.92,,0.0155,,16.76,1.79,,909.0,,5994.0,4.43,0.08,1.06,1.1
K2-331 c,1,22.996591,,0.37,4.43,,0.0235,,37.87,2.72,,673.0,,5994.0,4.43,0.08,1.06,1.1
K2-332 b,1,17.70632,,0.39,2.03,,0.0707,,66.3,2.2,,266.0,,3315.0,4.97,0.09,0.28,0.27
K2-333 b,1,14.759287,,0.26,4.96,,0.0461,,23.06,6.18,,826.0,,5880.0,4.29,0.07,1.22,1.06
K2-334 b,1,5.113981,,0.38,2.46,,0.0343,,15.35,5.65,,1380.0,,6502.0,4.22,0.17,1.49,1.36
K2-335 b,1,12.283211,,0.4,4.31,,0.0151,,20.3,2.21,,949.0,,6222.0,4.28,0.1,1.33,1.23
K2-336 b,1,21.194733,,0.41,4.65,,0.014,,32.37,1.22,,569.0,,5424.0,4.56,-0.17,0.8,0.86
K2-337 b,1,16.273563,,0.38,7.64,,0.018,,15.39,2.62,,850.0,,5869.0,4.17,-0.27,1.32,0.94
K2-338 b,1,3.850614,,0.42,1.78,,0.0148,,15.13,1.03,,783.0,,4558.0,4.65,-0.23,0.63,0.66
K2-339 b,1,19.507428,,0.44,3.4,,0.0244,,40.71,1.92,,508.0,,4857.0,4.59,-0.11,0.72,0.74
K2-34 b,1,2.9956348,,0.83,,,0.0887,,6.68,13.75,0.0442,1687.0,,6168.0,4.2,0.01,1.42,1.16
K2-340 b,1,29.740451,,0.39,5.29,,0.0268,,40.8,3.36,,606.0,,5532.0,4.3,0.08,1.13,0.93
K2-341 b,1,36.552551,,0.41,6.25,,0.0251,,42.13,3.21,,598.0,,5817.0,4.3,-0.05,1.16,0.98
K2-342 b,1,11.561052,,0.42,3.73,,0.0155,,21.96,2.03,,861.0,,5920.0,4.36,-0.06,1.09,1.01
K2-343 b,1,2.787174,,0.48,1.46,,0.0329,,13.47,1.65,,653.0,,3804.0,4.8,-0.1,0.46,0.49
K2-343 c,1,7.676972,,0.36,2.2,,0.0402,,26.11,2.02,,465.0,,3804.0,4.8,-0.1,0.46,0.49
K2-344 b,1,3.35585,,0.41,1.76,,0.0295,,13.79,1.59,,722.0,,4374.0,4.76,-0.95,0.49,0.51
K2-345 b,1,10.367437,,0.43,2.08,,0.0367,,36.12,2.11,,437.0,,3779.0,4.74,0.26,0.52,0.56
K2-346 b,1,26.201446,,0.42,3.33,,0.0297,,56.68,2.26,,450.0,,4801.0,4.6,-0.18,0.7,0.71
K2-347 b,1,7.187257,,0.21,2.57,,0.0335,,21.52,2.41,,640.0,,4599.0,4.65,-0.26,0.63,0.66
K2-348 b,1,4.688418,,0.39,2.75,,0.035,,12.55,3.26,,908.0,,5077.0,4.5,0.13,0.85,0.83
K2-348 c,1,12.550171,,0.43,3.68,,0.0287,,24.47,2.67,,655.0,,5077.0,4.5,0.13,0.85,0.83
K2-349 b,1,9.032178,,0.4,3.25,,0.0255,,19.99,1.38,,518.0,,4385.0,4.78,-0.66,0.49,0.54
K2-35 b,1,2.399964,0.13,,,,0.01949,88.98,10.53,1.32,0.031,,211.0,4402.71,,,0.619575,0.701968
K2-35 c,1,5.608352,0.12,,,,0.028494,88.58,19.1,1.93,0.055,,68.0,4402.71,,,0.619575,0.701968
K2-350 b,1,4.163873,,0.41,2.75,,0.0135,,10.68,1.54,,1158.0,,5789.0,4.39,-0.02,1.04,0.98
K2-350 c,1,19.991944,,0.45,4.94,,0.0239,,28.71,2.74,,687.0,,5789.0,4.39,-0.02,1.04,0.98
K2-351 b,1,7.806164,,0.39,2.78,,0.0221,,20.2,2.54,,934.0,,5769.0,4.4,0.08,1.05,1.02
K2-352 b,1,3.665912,,0.42,1.63,,0.0132,,15.66,1.37,,1160.0,,5791.0,4.47,-0.05,0.95,0.98
K2-352 c,1,8.234885,,0.41,3.59,,0.0185,,16.35,1.92,,885.0,,5791.0,4.47,-0.05,0.95,0.98
K2-352 d,1,14.871387,,0.39,4.14,,0.0214,,25.94,2.23,,727.0,,5791.0,4.47,-0.05,0.95,0.98
K2-354 b,1,3.793306,,0.24,1.53,,0.0353,,19.05,1.56,,543.0,,3669.0,4.86,-0.04,0.41,0.43
K2-355 b,1,5.7385647,,0.43,,,0.0223,,14.85,2.25,0.0632,1066.0,,5790.0,4.49,-0.12,0.92,0.96
K2-356 b,1,21.0267366,,0.36,,,0.0244,,40.15,2.29,0.1599,624.0,,5568.0,4.52,-0.11,0.86,0.9
K2-357 b,1,16.3488637,,0.35,,,0.034,,31.62,3.72,0.145,735.0,,5794.0,4.43,-0.02,1.0,0.98
K2-358 b,1,11.2510285,,0.35,,,0.0269,,20.61,2.68,0.0863,888.0,,5650.0,4.49,-0.07,0.91,0.93
K2-36 b,1,1.422614,0.093,,,,,84.45,,1.43,0.02288,1328.0,519.0,4916.0,,,0.718,0.79
K2-36 c,1,5.340888,0.089,,,,,86.917,,3.2,0.05528,854.0,89.0,4916.0,,,0.718,0.79
K2-360 c,1,9.79692,0.11,,,,,,,,0.0883,912.0,115.0,5679.0,4.435,0.01,0.98,0.958
K2-365 b,1,23.448172,,0.328,,,0.0253,,30.65,2.906,,,,5561.0,4.313,-0.021,1.051,0.823
K2-366 b,1,15.937039,,0.718,,,0.0228,,27.63,2.359,,,,5601.0,4.406,-0.216,0.94,0.825
K2-367 b,1,20.645099,,0.83,,,0.0353,,45.05,2.413,,,,4348.0,4.726,-0.351,0.625,0.756
K2-368 b,1,5.025598,,0.272,,,0.0184,,16.2,1.332,,,,4663.0,4.667,-0.25,0.663,0.746
K2-368 c,1,9.660186,,0.306,,,0.0188,,25.98,1.361,,,,4663.0,4.667,-0.25,0.663,0.746
K2-368 d,1,20.201085,,0.287,,,0.0269,,42.92,1.948,,,,4663.0,4.667,-0.25,0.663,0.746
K2-369 b,1,5.761612,,0.727,,,0.0137,,14.31,1.313,,,,5682.0,4.418,-0.234,0.881,0.735
K2-37 b,1,4.4434,,,,,,,,1.39,,949.0,193.0,5352.0,4.53,-0.08,0.809,0.84
K2-37 c,1,6.42966,,,,,,,,2.41,,839.0,118.0,5352.0,4.53,-0.08,0.809,0.84
K2-37 d,1,14.09229,,,,,,,,2.31,,646.0,41.3,5352.0,4.53,-0.08,0.809,0.84
K2-370 b,1,2.14084,,0.941,,,0.0302,,3.66,3.207,,,,5377.0,4.454,0.018,0.971,0.984
K2-371 b,1,3.114905,,0.666,,,0.1619,,8.64,13.024,,,,4925.0,4.683,-0.107,0.736,0.958
K2-372 b,1,9.844077,,0.337,,,0.0292,,20.01,2.945,,,,5479.0,4.437,-0.064,0.922,0.847
K2-373 b,1,11.02066,,0.666,,,0.0127,,15.29,2.061,,,,6138.0,4.156,0.049,1.486,1.158
K2-374 b,1,4.521953,,0.235,,,0.0161,,11.44,1.593,,,,5789.0,4.386,-0.292,0.907,0.731
K2-374 c,1,16.43445,,0.649,,,0.0223,,27.11,2.213,,,,5789.0,4.386,-0.292,0.907,0.731
K2-375 b,1,14.453895,,0.284,,,0.0133,,16.9,2.243,,,,5822.0,4.107,-0.091,1.543,1.119
K2-376 b,1,5.776475,,0.854,,,0.0138,,11.58,1.736,,,,5937.0,4.275,-0.176,1.149,0.908
K2-377 b,1,12.832235,,0.262,,,0.0224,,30.04,1.693,,,,4200.0,4.673,-0.008,0.691,0.821
