group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 211546613.01,CANDIDATE,2.007472,,,,0.9048,1.6989,,,,,,,,3790.0,4.783,,0.473,,
EPIC 211551160.01,CANDIDATE,37.4059,,,,3.84,0.145,0.0366,,67.0,2.32,,,,,,,0.581,,
EPIC 211552050.01,CANDIDATE,3.544965,,,,1.464,0.0621,,,,1.9,,,,4860.0,4.602,,0.701,,
EPIC 211569704.01,CANDIDATE,34.023,,,0.0,3.0,0.0308,0.017559,,,,,,,4534.56,,0.141,11.253,,
EPIC 211572511.01,CANDIDATE,10.39528014,,,,4.442,0.019,,,,,,,,5714.27,4.54932,-0.009,0.8881,1.019,
EPIC 211578235.01,CANDIDATE,11.007537,,,1.29,1.5408,,0.4056,,,41.5,,,,,,,0.94,,
EPIC 211579683.01,CANDIDATE,9.0102,,,,4.872,0.0982,0.044,,5.7,3.6,,,,,,,0.738,,
EPIC 211586387.01,CANDIDATE,35.3972,,,,4.68,0.147,0.045,,30.0,2.6,,,,,,,0.531,,
EPIC 211590050.01,CANDIDATE,26.0,,,0.27,,,0.0611,,25.6,10.48,0.187,222.0,,6414.0,4.16,0.03,1.57,1.29,
EPIC 211606790.01,CANDIDATE,37.24703,,,,4.9296,0.7202,0.189,,32.4,35.0,,,,,,,1.696,,
EPIC 211611139.01,CANDIDATE,1.882213,,,,0.9648,0.5678,,,,,,,,6590.0,4.178,,1.568,,
EPIC 211616939.01,CANDIDATE,1.8554,,,,2.8008,0.0775,,,,,,,,4990.0,2.964,,10.091,,
EPIC 211619805.01,CANDIDATE,1.855827,,,,3.0168,0.0844,,,,,,,,4720.0,4.627,,0.664,,
EPIC 211619879.01,CANDIDATE,15.7512,,,,2.568,0.05,0.0218,,42.2,1.38,,,,,,,0.582,,
EPIC 211620138.01,CANDIDATE,1.855421,,,,5.6832,66.0084,,,,,,,,11500.0,4.055,,2.734,,
EPIC 211631538.01,CANDIDATE,5.513327,,,,0.9264,0.2119,,,,3.9,,,,5020.0,4.562,,0.77,,
EPIC 211638401.01,CANDIDATE,0.53027,,,,1.0632,0.0568,,,,1.4,,,,3880.0,4.706,,0.558,,
EPIC 211642307.01,CANDIDATE,20.9913,,,,2.928,0.129,0.0342,,48.2,1.44,,,,,,,0.386,,
EPIC 211642882.01,CANDIDATE,23.897707,,,,1.4832,1.1511,,,,,,,,5020.0,4.581,,0.728,,
EPIC 211644764.01,CANDIDATE,23.5306712,,,0.42,,,0.0471,,65.7,9.25,0.5304,591.0,,6688.0,4.05,0.04,1.9,1.48,
EPIC 211645912.01,CANDIDATE,10.6741,,,,3.768,0.0354,0.0178,,18.8,1.86,,,,,,,0.9538,,
EPIC 211649214.01,CANDIDATE,3.78795,,,,1.6512,0.4851,,,,,,,,5126.0,3.476,,4.182,,
EPIC 211663688.01,CANDIDATE,1.855516,,,,4.0752,1.4554,,,,,,,,3110.0,5.092,,0.189,,
EPIC 211673349.01,CANDIDATE,4.894289,,,,2.1048,0.3043,,,,4.1,,,,4440.0,4.62,,0.686,,
EPIC 211679060.01,CANDIDATE,12.601781,,,0.731,3.4,,0.0235,,20.06,2.788,,,,5791.0,4.269,-0.289,1.088,0.803,
EPIC 211682423.01,CANDIDATE,6.96350934,,,,2.189,0.016,,,,,,,,6244.89,4.33403,-0.5877,1.23998,1.21,
EPIC 211685045.01,CANDIDATE,0.769057,,,,,,0.035,82.9,3.3,2.06,,,,3832.0,4.9,-0.058,0.54,,
EPIC 211694226.01,CANDIDATE,1.91828,,,,,,0.021,86.2,10.53,1.0,,,,,,,,,
EPIC 211711685.01,CANDIDATE,15.462807,,,0.473,4.0,,0.0126,,26.64,1.266,,,,5509.0,4.414,0.044,0.919,0.802,
EPIC 211718187.01,CANDIDATE,5.51633,,,,1.92,0.183,0.0413,,19.9,1.38,,,,,,,0.306,,
EPIC 211719484.01,CANDIDATE,0.36091387,,,,1.692,0.739,,,,,,,,6175.0,3.94242,,1.92205,1.18,
EPIC 211724246.01,CANDIDATE,4.7464962,,,0.91,,,0.0506,,6.64,11.6,0.0651,1775.0,,6486.0,3.97,0.07,2.1,1.5,
EPIC 211728689.01,CANDIDATE,8.952623,,,0.851,2.6,,0.0954,,17.82,8.917,,,,5258.0,4.586,-0.212,0.856,1.023,
EPIC 211731298.01,CANDIDATE,1.990422,,,,2.0736,0.0447,0.02,,6.6,1.8,,,,,,,0.824,,
EPIC 211733267.01,CANDIDATE,8.658143,,,,1.6968,0.7969,0.195,,23.3,19.1,,,,,,,0.9,,
EPIC 211736305.01,CANDIDATE,14.5616,,,,3.144,0.1029,0.0305,,31.0,2.82,,,,,,,0.849,,
EPIC 211741619.01,CANDIDATE,2.787663,,,,0.7464,0.1087,,,,2.2,,,,3950.0,4.676,,0.602,,
EPIC 211754117.01,CANDIDATE,13.798845,,,0.351,3.0,,0.0224,,33.73,1.665,,,,4980.0,4.686,-0.35,0.68,0.824,
EPIC 211754962.01,CANDIDATE,3.41065,,,,1.944,0.0494,0.0216,,11.3,1.65,,,,,,,0.701,,
EPIC 211762841.01,CANDIDATE,1.56494,,,,0.6672,0.122,0.034,,15.7,2.06,,,,,,,0.556,,
EPIC 211765695.01,CANDIDATE,7.5587,,,0.459,2.5,,0.0357,,20.99,2.643,,,,3974.0,4.579,-0.221,0.677,0.636,
EPIC 211765695.02,CANDIDATE,25.43143,,,0.773,2.8,,0.0391,,48.45,2.887,,,,3974.0,4.579,-0.221,0.677,0.636,
EPIC 211770867.01,CANDIDATE,27.693,,,0.465,6.34296,1.8421,0.135722,,,,,,,6286.0,4.0632,,1.7076,1.23,
EPIC 211783206.01,CANDIDATE,7.13142,,,,1.92,0.0707,0.0258,,24.3,9.6,,,,,,,3.4,,
EPIC 211784767.01,CANDIDATE,3.57804902,,,,4.905,0.008,,,,,,,,6024.0,4.08194,,1.59182,1.116,
EPIC 211788221.01,CANDIDATE,12.89398,,,,1.2,0.314,0.0539,,77.0,1.12,,,,,,,0.191,,
EPIC 211791178.01,CANDIDATE,9.562742,0.14,-81.19,,,,0.027599,89.57,24.05,2.01,0.078,,35.1,4349.9,,,0.667217,0.694726,
EPIC 211796070.01,CANDIDATE,1.88993,,,,1.656,0.0367,0.0186,,7.4,1.29,,,,,,,0.638,,
EPIC 211797637.01,CANDIDATE,1.640707,,,,2.208,0.0469,0.034,,2.15,2.09,,,,,,,0.572,,
EPIC 211799258.01,CANDIDATE,19.53403,,,0.43,1.2888,,0.2593,,,12.7,,,,,,,0.45,,
EPIC 211800191.01,CANDIDATE,1.106175,,,,,,0.089351,67.34494,2.678202,8.83310242,,,,5851.0,4.43,-0.35,0.90632,,
EPIC 211808055.01,CANDIDATE,3.383,,,0.353,3.72096,0.1641,0.040506,,,,,,,5603.82,4.41736,0.206,1.019,0.99,
EPIC 211812935.01,CANDIDATE,3.607981,,,,2.7384,0.5543,,,,18.3,,,,6490.0,3.928,,2.253,,
EPIC 211814313.01,CANDIDATE,15.405101,,,,2.8128,1.6796,,,,,,,,5910.0,4.145,,1.475,,
EPIC 211817229.01,CANDIDATE,2.176955,,,,0.54,0.48,0.068,,26.9,1.25,,,,,,,0.169,,
EPIC 211825866.01,CANDIDATE,0.95017067,,,,2.581,0.088,,,,,,,,5339.0,4.65577,,0.746527,0.92,
EPIC 211826814.01,CANDIDATE,1.53453,,,,,,0.036,86.05,12.69,1.02,,,,,4.96079,,0.29,0.28,
EPIC 211830293.01,CANDIDATE,20.893526,,,,7.7016,0.8821,,,,,,,,6020.0,4.041,,1.765,,
EPIC 211834065.01,CANDIDATE,10.545,,,0.164,3.25896,0.0143,0.011974,,,,,,,6046.92,3.90591,0.1908,1.95293,1.12,
EPIC 211837343.01,CANDIDATE,12.0808,,,,2.28,0.1218,0.0341,,34.3,2.53,,,,,,,0.682,,
EPIC 211843564.01,CANDIDATE,0.4520313,,,,0.7272,0.756,0.0848,,4.4,5.3,,,,,,,0.569,,
EPIC 211859295.01,CANDIDATE,11.09226,,,0.391,2.9,,0.0325,,28.25,2.495,,,,4496.0,4.611,-0.063,0.703,0.74,
EPIC 211863149.01,CANDIDATE,2.61299,,,,6.6624,0.2779,,,,,,,,3520.0,4.798,,0.458,,
EPIC 211876245.01,CANDIDATE,8.97146,,,,2.6064,26.9917,,,,,,,,5330.0,4.481,,0.872,,
EPIC 211886472.01,CANDIDATE,19.640151,,,,2.184,0.6212,0.179,,36.3,43.0,,,,,,,2.188,,
EPIC 211892082.01,CANDIDATE,10.90364,,,0.591,2.4,,0.0344,,29.57,2.214,,,,3929.0,4.669,-0.504,0.59,0.593,
EPIC 211892395.01,CANDIDATE,0.995061,,,,2.6448,44.5224,,,,,,,,5080.0,4.468,,0.864,,
EPIC 211897272.01,CANDIDATE,11.2362,,,,1.176,0.0491,0.0216,,64.0,2.25,,,,,,,0.955,,
EPIC 211897691.01,CANDIDATE,5.75052,,,,1.44,0.1123,0.0321,,27.2,2.01,,,,,,,0.576,,
EPIC 211901114.01,CANDIDATE,1.6488,,,,,0.17,,,,,,,,3392.0,4.78569,,0.445314,0.441527,
EPIC 211904310.01,CANDIDATE,24.399869,,,0.97,,,0.1029,,15.59,18.43,0.1201,1144.0,,6404.0,4.12,0.05,1.65,1.33,
EPIC 211906259.01,CANDIDATE,2.52,,,0.174,12.35496,0.0105,0.010236,,,,,,,5707.44,4.37448,0.211,1.08666,1.02,
EPIC 211913395.01,CANDIDATE,9.35739,,,,1.68,0.171,0.0414,,34.0,2.69,,,,,,,0.595,,
EPIC 211914445.01,CANDIDATE,1.810718,,,,2.4048,0.1366,,,,,,,,5680.0,4.257,,1.178,,
EPIC 211914889.01,CANDIDATE,1.81042,,,,3.7056,3.5275,,,,,,,,3050.0,4.808,,0.313,,
EPIC 211914960.01,CANDIDATE,1.810834,,,,2.844,0.3433,,,,,,,,3230.0,3.921,,0.888,,
EPIC 211914998.02,CANDIDATE,24.6237203,,,0.43,,,0.0235,,47.18,2.33,0.1984,585.0,,5650.0,4.49,-0.07,0.91,0.93,
EPIC 211925181.01,CANDIDATE,8.841,,,,1.752,0.155,0.0381,,33.7,2.43,,,,,,,0.584,,
EPIC 211925595.01,CANDIDATE,45.38331501,,,,5.429,0.229,,,,,,,,4793.26,4.50159,0.085,0.815611,0.77,
EPIC 211929937.01,CANDIDATE,3.4766506,,,,2.5848,2.0961,0.1314,,11.33,12.6,,,,,,,0.879,,
EPIC 211939692.01,CANDIDATE,,,,,9.9312,0.0998,0.03051,,,4.31,,,,,,,1.294,,
EPIC 211939692.02,CANDIDATE,39.5438,,,,7.992,0.0511,0.0233,,19.5,3.28,,,,,,,1.294,,
EPIC 211939692.03,CANDIDATE,,,,,12.696,0.0585,0.02308,,,3.26,,,,,,,1.294,,
EPIC 211939692.04,CANDIDATE,26.8662,,,,8.52,0.0479,0.0209,,21.8,2.95,,,,,,,1.294,,
EPIC 211941472.01,CANDIDATE,5.7837,,,,4.2,0.0107,0.0096,,9.2,1.38,,,,,,,1.31,,
EPIC 211942755.01,CANDIDATE,19.729071,,,0.727,2.7,,0.0288,,39.96,2.239,,,,4735.0,4.619,-0.535,0.712,0.769,
EPIC 211953244.01,CANDIDATE,29.724674,,,0.672,3.8,,0.0154,,45.44,1.439,,,,5339.0,4.515,0.09,0.854,0.869,
EPIC 211964332.01,CANDIDATE,7.220537,,,,4.1136,0.3983,,,,,,,,5420.0,4.435,,0.932,,
EPIC 211965883.01,CANDIDATE,10.55532,,,,1.68,0.158,0.0389,,41.0,2.64,,,,,,,0.623,,
EPIC 211972627.01,CANDIDATE,1.092845,,,,1.6248,0.0236,,,,,,,,5620.0,4.468,,0.951,,
EPIC 211972681.01,CANDIDATE,1.092673,,,,1.3056,0.0833,,,,,,,,5140.0,4.557,,0.783,,
EPIC 211978865.01,CANDIDATE,0.907765,,,1.69,0.0,,0.5831,,,77.0,,,,,,,1.21,,
EPIC 211987231.01,CANDIDATE,17.035203,,,,2.508,2.208,0.321,,42.47,53.0,,,,,,,1.51,,
EPIC 211988320.01,CANDIDATE,63.8432,,,,4.944,0.193,0.043,,85.0,2.78,,,,,,,0.594,,
EPIC 211993818.01,CANDIDATE,8.986648,,,,,,0.307785,83.70731,10.169716,143.0368808,,,,5265.0,3.2,-0.04,4.260594,,
EPIC 211995325.01,CANDIDATE,0.279258,,,,,,0.1243,79.8,2.2,8.41,,,,4071.0,4.838,-0.202,0.62,,
EPIC 211995398.01,CANDIDATE,32.5795,,,,5.088,2.421,0.1513,,49.6,10.44,,,,,,,0.633,,
EPIC 211997641.01,CANDIDATE,1.744546,,,,3.924,20.6372,,,,,,,,6530.0,3.921,,2.316,,
EPIC 212008766.02,CANDIDATE,74.8,,,0.97,,,0.0569,,98.4,4.34,0.32,86.0,,5044.0,4.64,-0.16,0.7,0.79,
EPIC 212009150.01,CANDIDATE,6.83292,,,,2.208,0.389,0.066,,17.8,1.3,,,,,,,0.18,,
EPIC 212024672.01,CANDIDATE,3.697161,,,,3.3528,3.5827,,,,,,,,3120.0,4.991,,0.245,,
EPIC 212033577.01,CANDIDATE,23.702342,,,,5.424,4.8619,,,,,,,,6280.0,4.021,,1.869,,
EPIC 212035441.01,CANDIDATE,2.714743,,,0.114,1.6,,0.0264,,13.37,1.198,,,,3634.0,4.802,0.31,0.415,0.397,
EPIC 212036875.01,CANDIDATE,5.169887,,,,1.5504,0.3348,,,,9.1,,,,6830.0,4.256,,1.45,,
EPIC 212040382.01,CANDIDATE,4.445559,,,,3.6312,0.4228,,,,15.9,,,,6520.0,3.932,,2.237,,
EPIC 212041206.01,CANDIDATE,23.917716,,,,1.7208,3.2061,,,,,,,,5050.0,4.507,,0.828,,
EPIC 212041476.01,CANDIDATE,2.783705,,,,1.272,0.0538,,,,2.4,,,,5890.0,4.487,,0.939,,
EPIC 212048046.01,CANDIDATE,9.375266,,,0.411,2.8,,0.0435,,24.46,3.545,,,,4571.0,4.597,-0.116,0.747,0.804,
EPIC 212052250.01,CANDIDATE,0.986765,,,,3.336,30.5455,,,,,,,,6080.0,4.201,,1.4,,
EPIC 212066407.01,CANDIDATE,0.8218241,,,,1.1256,0.0615,0.0209,,5.34,6.1,,,,,,,2.66,,
EPIC 212068493.01,CANDIDATE,14.220246,,,,3.4848,10.1983,,,,,,,,6130.0,4.185,,1.461,,
EPIC 212096658.01,CANDIDATE,1.466473,,,,2.5488,33.5755,,,,,,,,4570.0,4.413,,0.981,,
EPIC 212099230.01,CANDIDATE,7.112134,,,,2.5104,0.0553,,,,2.7,,,,5800.0,4.409,,1.042,,
EPIC 212114260.01,CANDIDATE,20.016917,,,,2.4144,0.552,,,,,,,,5790.0,4.451,,0.97,,
EPIC 212120773.01,CANDIDATE,5.17518,,,,3.288,0.0317,0.017,,10.2,1.53,,,,,,,0.826,,
EPIC 212133517.01,CANDIDATE,9.73605539,,,,3.673,0.122,,,,,,,,5508.0,4.47265,,0.946449,0.97,
EPIC 212136123.01,CANDIDATE,2.22645,,,,1.728,0.0997,0.0305,,9.0,2.6,,,,,,,0.782,,
EPIC 212138198.01,CANDIDATE,3.209149,,,,,,0.057615,86.45657,14.582916,5.27465763,,,,5182.0,4.55,0.29,0.839324,,
EPIC 212141021.01,CANDIDATE,2.91825,,,,2.208,0.0402,0.0196,,8.9,1.65,,,,,,,0.776,,
EPIC 212150006.01,CANDIDATE,0.898344,,,,1.4016,0.2531,0.101,,2.44,9.8,,,,,,,0.9,,
EPIC 212152341.01,CANDIDATE,6.676,,,0.087,2.27304,3.9424,0.198555,,,,,,,4036.0,,,,,
EPIC 212159514.01,CANDIDATE,0.545702,,,,1.9152,0.0532,,,,,,,,5330.0,3.514,,4.752,,
EPIC 212159623.01,CANDIDATE,4.70751,,,,2.928,0.0209,0.0139,,10.7,1.52,,,,,,,0.998,,
EPIC 212194007.01,CANDIDATE,1.17715,,,,3.924,29.4749,,,,,,,,6390.0,3.846,,2.529,,
EPIC 212207368.01,CANDIDATE,1.190316,,,,3.2592,1.4098,,,,,,,,3420.0,4.916,,0.335,,
EPIC 212219881.01,CANDIDATE,6.924808,,,,2.8536,0.9578,,,,8.5,,,,5300.0,4.55,,0.795,,
EPIC 212223307.01,CANDIDATE,1.190354,,,,3.924,36.3154,,,,,,,,6350.0,3.88,,2.407,,
EPIC 212227092.01,CANDIDATE,5.190254,,,,3.1608,69.6741,,,,,,,,3120.0,3.97,,0.645,,
EPIC 212228567.01,CANDIDATE,11.480611,,,0.861,11.0,,0.0398,,4.69,23.562,,,,4692.0,3.138,0.046,5.415,1.48,
EPIC 212228994.01,CANDIDATE,1.095841,,,,1.9104,0.3489,,,,,,,,5920.0,3.996,,1.906,,
EPIC 212270970.01,CANDIDATE,0.7165461,,,,1.7496,0.2089,0.133,,1.861,25.5,,,,,,,1.754,,
EPIC 212278644.01,CANDIDATE,12.426,,,0.213,4.92312,0.0431,0.02077,,,,,,,5926.0,4.21306,,1.34653,1.08,
EPIC 212283840.01,CANDIDATE,16.715029,,,0.964,1.8,,0.0365,,27.81,3.402,,,,5406.0,4.49,-0.189,0.854,0.821,
EPIC 212294561.01,CANDIDATE,2.76294135,,,,2.758,0.052,,,,,,,,5794.0,4.66219,,0.787867,1.04,
EPIC 212301649.01,CANDIDATE,1.225,,,0.554,9.01608,0.0224,0.014962,,,,,,,5222.0,4.5427,,0.836336,0.89,
EPIC 212303338.01,CANDIDATE,0.595621,,,,,,0.006193,84.35229,4.717778,0.58303133,,,,5338.0,4.51,0.19,0.863058,,
EPIC 212304395.01,CANDIDATE,1.605718,,,,1.5144,0.5483,0.075,,6.8,16.0,,,,,,,1.9,,
EPIC 212310244.01,CANDIDATE,6.669,,,0.166,4.98408,0.0213,0.014607,,,,,,,5048.0,4.48154,,0.871771,0.84,
EPIC 212311834.01,CANDIDATE,17.788652,,,1.06,2.8104,,0.5791,,,47.8,,,,,,,0.76,,
EPIC 212315941.01,CANDIDATE,12.93562,,,,2.2296,1.573,0.204,,30.2,33.6,,,,,,,1.511,,
EPIC 212315941.02,CANDIDATE,51.735,,,,2.664,0.591,0.093,,90.0,15.3,,,,,,,1.511,,
EPIC 212321305.01,CANDIDATE,34.1365,,,,9.192,0.3371,0.0539,,27.5,10.54,,,,,,,1.791,,
EPIC 212328538.01,CANDIDATE,3.56467,,,,1.848,0.075,0.0263,,12.9,1.62,,,,,,,0.564,,
EPIC 212329106.01,CANDIDATE,21.0791,,,,3.528,0.0353,0.0182,,40.1,2.71,,,,,,,1.362,,
EPIC 212330265.01,CANDIDATE,4.17458,,,,1.968,0.1339,0.0354,,15.1,1.08,,,,,,,0.28,,
EPIC 212346723.01,CANDIDATE,15.9489,,,,5.64,0.0331,0.0177,,19.4,2.48,,,,,,,1.29,,
EPIC 212351026.01,CANDIDATE,2.55068936,,,,7.155,0.828,,,,,,,,3545.0,4.72355,,0.515866,0.513515,
EPIC 212351405.01,CANDIDATE,2.549,,,0.407,3.83304,0.1961,0.044285,,,,,,,,,,,,
EPIC 212351868.01,CANDIDATE,2.500285,,,0.36,5.7,,0.237,,4.03,64.215,,,,6051.0,3.934,-0.038,2.481,1.936,
EPIC 212362217.01,CANDIDATE,0.6962935,,,,0.7944,0.1033,0.0319,,5.7,3.85,,,,,,,1.107,,
EPIC 212370106.01,CANDIDATE,22.446,,,0.011,3.48,0.1546,0.039319,,,,,,,4118.0,4.5655,,0.693527,0.645,
EPIC 212380207.01,CANDIDATE,26.143,,,,4.488,0.0848,0.0285,,38.1,2.52,,,,,,,0.8091,,
EPIC 212393193.01,CANDIDATE,14.452,,,0.0,2.958,0.0331,0.0182,,,,,,,6318.0,4.43683,,1.11514,1.24,
EPIC 212393193.02,CANDIDATE,36.152,,,0.001,5.31696,0.0331,0.0183,,,,,,,6318.0,4.43683,,1.11514,1.24,
EPIC 212396050.01,CANDIDATE,6.16596,,,0.977,,,0.0314,,8.85,,,,,5882.0,,,1.3,,
EPIC 212398508.01,CANDIDATE,46.4221,,,,6.744,0.0793,0.0273,,49.2,2.66,,,,,,,0.893,,
EPIC 212406474.01,CANDIDATE,1.852487,,,,2.52,0.1299,0.136,,2.89,36.8,,,,,,,2.479,,
EPIC 212409658.01,CANDIDATE,3.746332,,,0.519,1.9,,0.0207,,13.17,1.638,,,,4395.0,4.615,-0.085,0.726,0.795,
EPIC 212421673.01,CANDIDATE,28.24765,,,,13.9752,0.9811,0.09873,,14.12,38.5,,,,,,,3.57,,
EPIC 212421749.01,CANDIDATE,25.3606,,,,4.656,0.1341,0.035,,36.1,3.11,,,,,,,0.815,,
EPIC 212422536.01,CANDIDATE,15.7086,,,,3.648,0.1002,0.0303,,29.4,1.96,,,,,,,0.595,,
EPIC 212422536.02,CANDIDATE,9.886,,,,3.168,0.0652,0.0245,,21.1,1.59,,,,,,,0.595,,
EPIC 212424622.01,CANDIDATE,12.0156,,,,5.4,0.0489,0.0211,,14.7,2.81,,,,,,,1.2247,,
EPIC 212425103.01,CANDIDATE,0.946033,,,,1.632,0.0425,0.02,,3.94,1.81,,,,,,,0.827,,
EPIC 212428509.01,CANDIDATE,2.667929,,,1.42,2.0904,,0.497,,,50.7,,,,,,,0.94,,
EPIC 212432685.01,CANDIDATE,0.531684,,,,1.776,0.0236,0.0152,,1.86,2.13,,,,,,,1.29,,
EPIC 212434019.01,CANDIDATE,24.006249,,,0.406,3.5,,0.1449,,55.95,23.826,,,,6150.0,4.165,-0.383,1.506,1.214,
EPIC 212435047.01,CANDIDATE,1.115563,,,,2.04,0.01969,0.012,,3.94,1.29,,,,,,,0.98,,
EPIC 212443457.01,CANDIDATE,24.482,,,,8.016,0.804,0.0937,,16.2,28.2,,,,,,,2.763,,
EPIC 212443973.01,CANDIDATE,0.77923,,,,,,0.023,83.74,7.23,0.87,,,,,,,,,
EPIC 212451091.01,CANDIDATE,12.666,,,0.053,3.51,0.1876,0.043318,,,,,,,5690.0,4.48856,,0.948236,1.01,
EPIC 212454160.01,CANDIDATE,0.876,,,0.526,7.37208,0.0146,0.012103,,,,,,,5849.0,4.11289,,1.49707,1.06,
EPIC 212454422.01,CANDIDATE,3.26945,,,,0.96,1.55,0.13,,25.7,3.9,,,,,,,0.276,,
EPIC 212464382.01,CANDIDATE,4.07337,,,,2.76,0.0125,0.01071,,9.7,0.928,,,,,,,0.794,,
EPIC 212495601.01,CANDIDATE,21.6768,,,,4.872,0.0726,0.0262,,31.1,2.87,,,,,,,1.003,,
EPIC 212497862.01,CANDIDATE,6.80213,,,,1.272,0.208,0.044,,37.5,1.82,,,,,,,0.379,,
EPIC 212499835.01,CANDIDATE,6.88385,,,,7.584,1.207,0.1023,,6.78,8.3,,,,,,,0.743,,
EPIC 212499991.01,CANDIDATE,15.3866,,,,2.4,0.0796,0.0292,,37.0,2.41,,,,,,,0.758,,
EPIC 212524671.01,CANDIDATE,11.52898,,,,1.488,0.494,0.0675,,56.9,3.93,,,,,,,0.533,,
EPIC 212525174.01,CANDIDATE,3.44791,,,,1.632,0.048,0.0211,,14.3,1.46,,,,,,,0.637,,
EPIC 212525618.01,CANDIDATE,14.4307,,,,3.0,0.0487,0.0212,,31.5,2.28,,,,,,,0.986,,
EPIC 212529560.01,CANDIDATE,8.12088,,,,3.48,0.0534,0.0224,,15.6,2.69,,,,,,,1.101,,
EPIC 212534729.01,CANDIDATE,13.485,,,,2.88,0.0337,0.0174,,31.3,1.67,,,,,,,0.879,,
EPIC 212535959.01,CANDIDATE,17.732736,,,0.797,8.7,,0.1262,,12.38,23.212,,,,5650.0,4.03,-0.277,1.684,1.114,
EPIC 212540985.01,CANDIDATE,1.096473,,,,3.768,2.977,0.373,,2.319,78.0,,,,,,,1.913,,
EPIC 212555594.02,CANDIDATE,4.162764,,,0.5,1.5504,,0.0168,,,1.5,,,,,,,0.83,,
EPIC 212560683.01,CANDIDATE,13.7043,,,,4.272,0.0158,0.0118,,21.3,1.3,,,,,,,1.014,,
EPIC 212562715.01,CANDIDATE,13.52583,,,,2.76,0.0704,0.0246,,33.8,2.49,,,,,,,0.927,,
EPIC 212563850.01,CANDIDATE,14.311,,,0.0,1.96008,0.0689,0.026248,,,,,,,4076.0,4.66576,,0.614558,0.638,
EPIC 212569876.01,CANDIDATE,21.379793,,,0.169,5.5,,0.0274,,30.03,2.088,,,,4722.0,4.665,-0.248,0.698,0.825,
EPIC 212570977.01,CANDIDATE,8.853025,,,0.43,4.2192,,0.1514,,,14.4,,,,,,,0.87,,
EPIC 212572439.01,CANDIDATE,2.581467,,,0.6,1.6896,,0.0668,,,5.7,,,,,,,0.78,,
EPIC 212577658.01,CANDIDATE,14.06928,,,,3.0048,0.0402,0.01915,,32.4,1.83,,,,,,,0.876,,
EPIC 212579164.01,CANDIDATE,18.155653,,,0.74,3.5904,,0.607,,,55.0,,,,,,,0.83,,
EPIC 212579424.01,CANDIDATE,6.373,,,0.0,1.902,1.7919,0.133861,,,,,,,6518.0,4.57297,,0.991065,1.34,
EPIC 212585579.01,CANDIDATE,3.021944,,,,2.0304,0.1186,0.092,,4.62,10.8,,,,,,,1.082,,
EPIC 212586030.01,CANDIDATE,7.78608,,,,2.472,0.0622,0.0298,,12.5,10.9,,,,,,,3.34,,
EPIC 212590677.01,CANDIDATE,,,,,3.576,1.101,0.175,,,15.2,,,,,,,0.797,,
EPIC 212592101.01,CANDIDATE,4.54462,,,,1.512,0.929,0.125,,15.0,6.6,,,,,,,0.487,,
EPIC 212601505.01,CANDIDATE,0.72436144,,,,1.238,3.564,,,,,,,,3276.0,4.60926,,0.650416,0.627438,
EPIC 212616320.01,CANDIDATE,12.346663,,,0.245,4.6,,0.0212,,20.23,2.345,,,,5685.0,4.371,-0.159,1.011,0.88,
EPIC 212621075.01,CANDIDATE,31.4782,,,,4.488,0.1052,0.0316,,46.6,2.6,,,,,,,0.7556,,
EPIC 212622766.01,CANDIDATE,6.02226,,,,2.088,0.0384,0.019,,18.5,2.02,,,,,,,0.9738,,
EPIC 212634172.01,CANDIDATE,2.851702,,,,0.864,0.488,0.0655,,23.5,2.16,,,,,,,0.303,,
EPIC 212636654.01,CANDIDATE,11.090822,,,0.421,4.1,,0.0168,,19.29,1.818,,,,5763.0,4.259,-0.481,0.989,0.652,
EPIC 212639319.01,CANDIDATE,13.83851,,,,1.4952,0.0882,0.0286,,65.2,8.26,,,,,,,2.65,,
EPIC 212645891.01,CANDIDATE,0.32815384,,,,1.2048,0.2247,0.134,,1.481,17.1,,,,,,,1.168,,
EPIC 212646483.01,CANDIDATE,8.25178,,,,1.1424,0.0954,0.0296,,50.1,6.99,,,,,,,2.161,,
EPIC 212648083.01,CANDIDATE,20.5827,,,,3.72,0.0664,0.0249,,39.2,2.98,,,,,,,1.099,,
EPIC 212652418.01,CANDIDATE,19.1324,,,,3.336,0.0366,0.0186,,39.3,2.73,,,,,,,1.347,,
EPIC 212661144.01,CANDIDATE,2.458783,,,,1.2576,0.0943,0.0295,,13.1,3.11,,,,,,,0.964,,
EPIC 212679181.01,CANDIDATE,1.054604,,,,0.4608,0.0658,0.0252,,14.5,0.824,,,,,,,0.3,,
EPIC 212685467.01,CANDIDATE,,,,,7.32,0.9679,0.231,,,24.0,,,,,,,0.951,,
EPIC 212688722.01,CANDIDATE,5.734172,,,0.728,5.7,,0.0207,,5.47,6.2,,,,5192.0,3.618,-0.447,2.747,1.147,
EPIC 212688920.01,CANDIDATE,62.841,,,0.818,2.02296,5.3463,0.231222,,,,,,,4971.0,4.24294,,1.13363,0.82,
