group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 201920032.02,CANDIDATE,4.73172,,,,1.2,0.0245,0.0152,,26.0,1.7,,,,,,,1.028,,
EPIC 201923289.01,CANDIDATE,0.782022,,,,1.416,0.0267,0.0154,,3.71,1.58,,,,,,,0.94,,
EPIC 201925324.01,CANDIDATE,15.4769,,,,3.528,0.173,0.0401,,30.9,2.89,,,,,,,0.66,,
EPIC 201927336.01,CANDIDATE,6.45027,,,,1.632,0.0606,0.0235,,27.1,2.29,,,,,,,0.894,,
EPIC 202060800.01,CANDIDATE,3.262038,,,,2.2536,2.4289,0.277,,8.66,,,,,10318.0,,,5.27397,,
EPIC 202062450.01,CANDIDATE,4.4654,,,,7.488,1.59,0.18,,3.32,45.0,,,,,,,2.3,,
EPIC 202064253.01,CANDIDATE,21.140574,,,0.83,4.63,5.01,0.2499,,,31.5,,,,6205.0,,,1.29,,
EPIC 202065819.01,CANDIDATE,5.74372,,,,4.2048,0.7985,0.205,,6.52,,,,,,,,,,
EPIC 202066192.01,CANDIDATE,3.2923818,,,0.9,1.76,0.924,0.1053,,,19.6,,,,7824.0,,,1.87,,
EPIC 202066537.01,CANDIDATE,6.905053,,,,3.8736,2.5067,0.352,,11.12,,,,,,,,,,
EPIC 202066811.01,CANDIDATE,1.696374,,,,3.7296,3.779,0.1803,,4.043,35.3,,,,,,,1.793,,
EPIC 202071289.01,CANDIDATE,3.046136,,,,2.52,3.778,0.41,,8.02,76.0,,,,,,,1.698,,
EPIC 202071401.01,CANDIDATE,3.23792,,,,1.4448,0.0431,0.02,,15.2,,,,,4500.0,4.67558,,0.639668,0.707,
EPIC 202071635.01,CANDIDATE,6.2719092,,,0.85,5.32,9.29,0.3733,,,60.0,,,,7254.0,,,1.81,,
EPIC 202071725.01,CANDIDATE,1.42636,,,,2.328,0.03016,0.0142,,4.48,6.66,,,,,,,4.28,,
EPIC 202072596.01,CANDIDATE,3.979287,,,0.88,4.82,3.5,0.2167,,,37.5,,,,7430.0,,,1.84,,
EPIC 202072965.01,CANDIDATE,2.1417519,,,0.69,6.93,24.8,0.5571,,,86.2,,,,6492.0,,,1.59,,
EPIC 202084970.01,CANDIDATE,2.86136,,,,2.16,0.1169,0.033,,9.1,,,,,3697.0,4.73628,,0.50129,0.499329,
EPIC 202085553.01,CANDIDATE,3.10622,,,,2.712,0.195,0.101,,3.95,,,,,3636.0,4.73641,,0.501135,0.499177,
EPIC 202085597.01,CANDIDATE,1.814553,,,,3.4368,1.289,0.181,,2.757,,,,,4618.0,,,10.0566,,
EPIC 202085698.01,CANDIDATE,17.1541,,,,8.472,1.948,0.354,,12.96,,,,,4930.0,,,16.1325,,
EPIC 202085934.01,CANDIDATE,12.1507,,,,3.84,0.029,0.01639,,21.2,1.48,,,,,,,0.83,,
EPIC 202086291.01,CANDIDATE,2.4343734,,,0.52,7.44,38.7,0.6393,,,61.4,,,,5568.0,,,0.9,,
EPIC 202086968.01,CANDIDATE,1.8490876,,,0.97,3.12,2.74,0.2448,,,17.3,,,,5693.0,,,0.96,,
EPIC 202088212.01,CANDIDATE,2.620799,,,,2.6184,0.941,0.195,,4.82,37.0,,,,,,,1.725,,
EPIC 202089657.01,CANDIDATE,1.314437,,,,,,0.019306,84.96549,5.192105,3.09990986,,,,6009.0,4.09,-0.12,1.472064,,
EPIC 202090152.01,CANDIDATE,4.8045244,,,0.12,2.33,0.0678,0.02388,,,3.62,,,,6187.0,,,1.28,,
EPIC 202090723.01,CANDIDATE,6.14818,,,,3.8856,0.1513,0.03756,,11.82,,,,,6591.31,,-0.039,2.29043,,
EPIC 202090737.01,CANDIDATE,1.49761,,,,2.712,0.02228,0.01452,,3.77,,,,,,,,,,
EPIC 202091388.01,CANDIDATE,6.48167,,,,2.808,0.1249,0.0344,,15.5,3.46,,,,,,,0.922,,
EPIC 202092480.01,CANDIDATE,2.8445331,,,0.68,5.69,26.5,0.5768,,,65.3,,,,6045.0,,,1.16,,
EPIC 202092559.01,CANDIDATE,0.6687,,,,2.16,0.01196,0.01048,,2.15,2.22,,,,,,,1.942,,
EPIC 202092782.01,CANDIDATE,13.3461,,,,2.6568,0.5465,0.151,,20.3,42.0,,,,,,,2.575,,
EPIC 202093020.01,CANDIDATE,4.13737,,,,2.2368,1.049,0.217,,9.04,24.5,,,,,,,1.03,,
EPIC 202093968.01,CANDIDATE,2.469851,,,,2.6592,0.1234,0.0406,,3.46,6.6,,,,,,,1.479,,
EPIC 202094740.01,CANDIDATE,0.690458,,,,5.8896,0.6655,0.256,,1.299,,,,,6912.12,,0.086,1.50882,,
EPIC 202126847.01,CANDIDATE,4.1687922,,,0.95,6.61,1.69,0.1802,,,16.1,,,,6005.0,,,1.14,,
EPIC 202126853.01,CANDIDATE,21.17051,,,,5.004,1.5771,0.295,,22.5,81.0,,,,,,,2.536,,
EPIC 202126884.01,CANDIDATE,5.319075,,,,6.756,0.7124,0.08027,,5.98,20.0,,,,,,,2.28,,
EPIC 202137637.01,CANDIDATE,6.6223,,,,1.224,0.348,0.0573,,36.6,,,,,5000.0,,,5.54598,,
EPIC 202139294.01,CANDIDATE,0.5217136,,,,4.0152,1.4286,0.367,,1.462,452.0,,,,,,,11.27,,
EPIC 202565282.01,CANDIDATE,11.97495,,,,6.786,,0.76,,,256.0,,,,5200.0,3.32,,3.4,,
EPIC 202600948.01,CANDIDATE,5.9895,,,,1.848,0.0354,0.0182,,20.8,2.04,,,,,,,1.03,,
EPIC 202634963.01,CANDIDATE,28.707623,,,0.82,3.61,3.57,0.2136,,,21.2,,,,5838.0,,,1.03,,
EPIC 202675839.01,CANDIDATE,15.466674,,,,,,0.12002,85.47505,13.540111,16.12109089,,,,5807.0,4.25,0.45,1.231429,,
EPIC 202688980.01,CANDIDATE,1.45556515,,,,2.5488,2.7008,0.318,,3.585,71.0,,,,,,,2.043,,
EPIC 202710713.01,CANDIDATE,3.3255,,,,7.104,0.1179,0.116,,1.965,1080.0,,,,,,,85.0,,
EPIC 202774883.01,CANDIDATE,13.1426,,,,5.712,0.529,0.13,,9.7,200.0,,,,,,,13.9,,
EPIC 202821899.01,CANDIDATE,4.47471,,,,3.0336,0.173,0.081,,4.69,22.0,,,,,,,2.486,,
EPIC 202843107.01,CANDIDATE,2.1989041,,,0.6,6.83,32.4,0.6032,,,46.6,,,,4938.0,,,0.75,,
EPIC 202893157.01,CANDIDATE,4.1657292,,,0.85,2.47,0.227,0.05024,,,1.86,,,,3442.0,,,0.36,,
EPIC 202971774.01,CANDIDATE,0.2358684,,,,0.7416,0.0754,0.0313,,1.69,6.1,,,,,,,1.792,,
EPIC 203042994.01,CANDIDATE,12.99109,,,,1.656,0.602,0.088,,40.0,43.0,,,,,,,4.5,,
EPIC 203070421.01,CANDIDATE,1.7359447,,,0.96,2.82,0.043,0.02551,,,1.89,,,,5354.0,,,0.84,,
EPIC 203099398.01,CANDIDATE,1.83916,,,,1.5072,0.01515,0.01194,,8.3,0.62,,,,,,,0.48,,
EPIC 203139512.01,CANDIDATE,2.032664,,,,1.4088,0.1159,0.0329,,10.1,1.92,,,,,,,0.535,,
EPIC 203139512.02,CANDIDATE,6.11706,,,,2.064,0.0976,0.0302,,20.2,1.76,,,,,,,0.535,,
EPIC 203294831.01,CANDIDATE,1.85872487,,,,3.213,4.143,,,,,,,,6015.0,3.87316,,2.01889,1.11,
EPIC 203311200.01,CANDIDATE,,,,,13.02,0.3511,0.0603,,,12.81,,,,,,,1.947,,
EPIC 203518244.01,CANDIDATE,0.8411257,,,0.35,2.92,0.015,0.01098,,,0.884,,,,4289.0,,,0.66,,
EPIC 203533312.01,CANDIDATE,0.17566,,,,,,0.0248,76.6,1.7,3.11,,,,6620.0,4.19,0.09,1.15,,
EPIC 203560204.01,CANDIDATE,29.33873041,,,,5.083,1.277,,,,,,,,3171.0,4.71253,,0.528528,0.525532,
EPIC 203616858.01,CANDIDATE,1.68027,,,,2.616,0.0262,0.0207,,2.45,2.9,,,,,,,1.275,,
EPIC 203623230.01,CANDIDATE,2.54427583,,,,2.146,0.012,,,,,,,,8188.0,3.71913,,3.23826,2.003,
EPIC 203633064.01,CANDIDATE,0.7099504,,,,2.172,1.6512,0.357,,2.482,80.0,,,,,,,2.065,,
EPIC 203753577.01,CANDIDATE,3.400858,,,,2.28,0.3404,0.132,,5.53,14.1,,,,,,,0.983,,
