group_id,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
5211199,6.68231249,0.0,0.892,3.251,48.7,0.007642,83.1,7.42,2.09,0.0764,1350.0,784.74,5343.0,3.764,0.08,2.506,1.33
7834712,66.119119,0.0,0.256,3.086,862.0,0.026737,89.91,162.8,3.0,0.3322,452.0,9.89,5828.0,4.462,0.32,1.028,1.116
9574614,0.982090079,0.0,1.278,1.44892,5396.7,0.369602,63.54,2.87,29.95,0.0176,1568.0,1426.18,5472.0,4.573,-0.52,0.742,0.75
8189801,0.66682654,0.0,0.856,0.7847,511.6,0.024547,76.88,3.77,1.49,0.0123,1183.0,461.55,3993.0,4.696,-0.2,0.554,0.556
10028352,1.38680229,0.0,1.115,1.7065,242.3,0.131874,47.35,1.646,29.33,0.0288,2530.0,9703.01,6823.0,4.04,0.36,2.037,1.66
10917681,12.89623554,0.0,0.973,2.625,426.6,0.025283,85.41,12.16,2.55,0.1079,783.0,89.02,6072.0,4.51,-0.24,0.923,1.005
7134626,2.52443998,0.0,0.232,2.369,45.8,0.006278,88.33,7.99,1.53,0.0393,2145.0,4998.98,6461.0,3.846,-0.34,2.225,1.266
11246161,0.5374094,0.0,0.17,1.2039,94.2,0.008863,87.17,3.445,0.96,0.013,2208.0,5646.82,5749.0,4.457,0.14,0.988,1.02
10352333,1.570592397,0.0,0.031,0.623,214.4,0.013623,89.91,19.52,1.37,0.0249,1480.0,1135.98,5519.0,4.431,-0.14,0.921,0.837
12253474,6.422943288,0.0,0.198,1.0815,261.4,0.014946,89.75,45.17,1.66,0.0689,1034.0,269.8,6102.0,4.447,-0.08,1.016,1.049
3764879,1.306984786,0.0,1.144,1.194,302.1,0.163565,57.13,2.11,18.33,0.0242,1754.0,2230.29,6102.0,4.457,0.0,1.026,1.099
7601665,3.11141514,0.0,0.46,3.074,28.4,0.005008,86.2,6.94,0.7,0.044,1530.0,1296.58,6450.0,4.297,-0.1,1.273,1.169
9149789,0.352515897,0.0,0.26,1.0525,168.2,0.01191,84.23,2.58,1.0,0.0092,2194.0,5534.14,5465.0,4.598,-0.26,0.766,0.857
7051984,0.339069751,0.0,0.958,1.1516,53.2,0.008785,37.61,1.209,2.09,0.0102,3653.0,41863.05,5653.0,3.846,0.02,2.183,1.216
7613620,0.619023176,0.0,0.387,1.496,77.9,0.008093,82.63,3.02,0.79,0.0142,1885.0,2985.06,5395.0,4.536,0.38,0.891,0.995
3345675,120.00336404,0.0,0.78,3.3803,39596.0,0.206779,89.82,249.69,15.08,0.4209,240.0,0.78,4315.0,4.627,0.14,0.668,0.688
4947556,141.608555,0.0,0.399,7.685,1263.1,0.032298,89.83,134.0,2.98,0.5029,290.0,1.68,5083.0,4.512,0.22,0.844,0.844
7287028,3.6092231,0.0,0.364,2.8,52.4,0.006716,87.74,9.25,0.68,0.0463,1192.0,477.0,6032.0,4.508,-0.18,0.929,1.014
8376848,11.4927112,0.0,1.212,7.764,291.5,0.227929,61.61,2.55,25.01,0.1021,858.0,127.97,6198.0,4.464,-0.16,1.005,1.072
7300182,172.820248,0.0,0.249,7.343,549.3,0.021626,89.92,178.1,2.22,0.6105,338.0,3.08,6174.0,4.499,-0.3,0.939,1.014
9904006,20.1890396,0.0,0.541,6.251,112.1,0.010011,88.53,21.06,1.39,0.1493,794.0,93.89,6178.0,4.269,-0.04,1.267,1.085
7366501,7.3812344,0.0,0.687,2.802,104.5,0.00996,87.36,14.92,1.0,0.0744,944.0,187.24,6072.0,4.51,-0.24,0.923,1.005
7296438,173.92851338,,,2.64,,,,,,,,,,,,,
9425139,305.0762469,0.0,0.695,6.255,4042.8,0.061965,89.87,299.0,7.82,0.9117,284.0,1.53,5716.0,4.348,0.4,1.155,1.083
7367164,3.76565247,0.0,0.535,1.557,92.4,0.009084,88.06,15.82,0.87,0.047,1108.0,356.3,5815.0,4.54,-0.12,0.877,0.973
7671950,10.5994606,0.0,0.671,9.484,128.8,0.010994,84.08,6.51,1.28,0.0993,896.0,152.67,6194.0,4.445,0.07,1.069,1.161
