model,profile,threshold,recall,precision,f2,pr_auc,tn,fp,fn,tp,dataset
knn,precision_constrained,0.8787878787878789,0.46551724137931033,0.9473684210526315,0.5182341650671785,0.9093280741027129,235,15,310,270,K2P
knn,precision_constrained,0.8787878787878789,0.48272807794508416,0.9494773519163763,0.5353634577603144,0.9215444269780863,1189,29,584,545,KOI_test_plus_K2P
rf,f2,0.27103470736795593,0.9817850637522769,0.7403846153846154,0.9216826265389877,0.9445979268034317,779,189,10,539,KOI_test
rf,f2,0.27103470736795593,0.9275862068965517,0.727027027027027,0.8790849673202614,0.9455614376415389,48,202,42,538,K2P
rf,f2,0.27103470736795593,0.953941541186891,0.7336512261580381,0.8998997326203209,0.932234000748979,827,391,52,1077,KOI_test_plus_K2P
rf,recall_constrained,0.029039432932280992,0.9981785063752276,0.5310077519379846,0.8488228004956629,0.9445979268034317,484,484,1,548,KOI_test
rf,recall_constrained,0.029039432932280992,0.9982758620689656,0.705237515225335,0.9216809933142311,0.9455614376415389,8,242,1,579,K2P
rf,recall_constrained,0.029039432932280992,0.9982285208148804,0.6082029141932002,0.884754278536662,0.932234000748979,492,726,2,1127,KOI_test_plus_K2P
rf,precision_constrained,0.8711829879684297,0.5591985428051002,0.9623824451410659,0.610337972166998,0.9445979268034317,956,12,242,307,KOI_test
rf,precision_constrained,0.8711829879684297,0.16551724137931034,0.9896907216494846,0.19859329747621018,0.9455614376415389,249,1,484,96,K2P
rf,precision_constrained,0.8711829879684297,0.3569530558015943,0.96875,0.40855636658556366,0.932234000748979,1205,13,726,403,KOI_test_plus_K2P
hgb,f2,0.13134043850824714,0.9854280510018215,0.73806275579809,0.9235233868214408,0.9582777925761988,776,192,8,541,KOI_test
hgb,f2,0.13134043850824714,0.8603448275862069,0.8723776223776224,0.8627247579529738,0.9456498729596194,177,73,81,499,K2P
hgb,f2,0.13134043850824714,0.9211691762621789,0.7969348659003831,0.8933172994330871,0.9405115018102862,953,265,89,1040,KOI_test_plus_K2P
hgb,recall_constrained,0.03211783437657091,0.9981785063752276,0.6129753914988815,0.8867313915857605,0.9582777925761988,622,346,1,548,KOI_test
hgb,recall_constrained,0.03211783437657091,0.9913793103448276,0.7352941176470589,0.9268214055448099,0.9456498729596194,43,207,5,575,K2P
hgb,recall_constrained,0.03211783437657091,0.9946855624446412,0.6700477326968973,0.9068152454780362,0.9405115018102862,665,553,6,1123,KOI_test_plus_K2P
hgb,precision_constrained,0.8854322299089866,0.51183970856102,0.9790940766550522,0.5658477648006444,0.9582777925761988,962,6,268,281,KOI_test
hgb,precision_constrained,0.8854322299089866,0.24482758620689654,0.9861111111111112,0.28814935064935066,0.9456498729596194,248,2,438,142,K2P
hgb,precision_constrained,0.8854322299089866,0.3746678476527901,0.9814385150812065,0.4275318374772589,0.9405115018102862,1210,8,706,423,KOI_test_plus_K2P
