deploy_id,model_name,profile,threshold,dataset,feature,importance_mean,importance_std,n_repeats,scoring,importance_rank
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,stellar_metallicity_dex,0.014589117870306945,0.005307213003460132,20,f2,7
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,stellar_teff_k,0.009430335202020978,0.0037017307861439233,20,f2,8
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,inclination_deg,0.007215525923368304,0.003755593964267729,20,f2,9
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,stellar_logg_cgs,0.005920197607560723,0.003285417477403128,20,f2,10
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,impact_parameter,0.0010501394141526233,0.002685306629138623,20,f2,11
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,transit_depth,0.05592635787099813,0.010077912735554617,20,f2,1
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,stellar_logg_cgs,0.051070090627319764,0.009884490258705676,20,f2,2
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,a_over_rs,0.04428586867885979,0.00889400946499097,20,f2,3
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,stellar_metallicity_dex,0.04404894354924011,0.008721101900495779,20,f2,4
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,stellar_teff_k,0.03527207002093109,0.008419726480201584,20,f2,5
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,orbital_period_days,0.030832445774538718,0.0068534886416505136,20,f2,6
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,transit_duration_hours,0.017087236176311547,0.005449108315902897,20,f2,7
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,impact_parameter,0.008759611985158034,0.006372724087047573,20,f2,8
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,planet_radius_rearth,0.0065370843888126525,0.006571093154042297,20,f2,9
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,inclination_deg,0.0025850296379079816,0.0030999377781083613,20,f2,10
deploy_precision,hgb,precision_constrained,0.8854322299089866,K2P,insolation_earth,0.00105303384989493,0.002221174350096109,20,f2,11
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,a_over_rs,0.21000424438305454,0.0159548065367827,20,f2,1
