kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
6517255,CANDIDATE,525.560452,0.005155,-0.005155,0.0,,,,,,0.0878,0.3778,-0.0876,2.327,0.443,-0.443,1196.0,166.0,-166.0,0.030724,0.003451,-0.001479,89.95,,,1772.0,764.0,-764.0,12.74,6.86,-3.59,1.4077,,,359.0,,,3.92,6.22,-2.1,4954.0,110.0,-130.0,3.408,0.229,-0.324,0.04,0.2,-0.28,3.796,2.046,-1.07,1.343,0.35,-0.354,,,
4647662,FALSE POSITIVE,1.06484622,1.962e-05,-1.962e-05,0.0,,,,,,0.242,0.252,-0.242,3.287,0.754,-0.754,42.4,3.4,-3.4,0.006036,1.3e-05,-0.000682,84.44,,,2.4958,0.0799,-0.0799,0.72,0.11,-0.04,0.0212,,,2034.0,,,4059.63,1624.17,-605.89,6445.0,77.0,-77.0,4.417,0.03,-0.12,-0.22,0.15,-0.15,1.087,0.169,-0.06,1.125,0.069,-0.084,,,
10777591,CONFIRMED,6.10968225,6.031e-05,-6.031e-05,0.0,,,,,,0.108,0.336,-0.108,5.735,0.254,-0.254,60.3,3.8,-3.8,0.007145,0.000365,-0.000192,89.24,,,8.17,1.2,-1.2,0.79,0.23,-0.19,0.0596,,,1093.0,,,337.78,301.92,-166.01,6024.0,197.0,-197.0,4.309,0.253,-0.207,-0.88,0.3,-0.3,1.009,0.293,-0.24,0.756,0.105,-0.035,,,
6441738,CANDIDATE,19.03723442,7.375e-05,-7.375e-05,0.0,,,,,,0.033,0.4,-0.033,3.3882,0.0924,-0.0924,401.3,18.5,-18.5,0.018189,0.000777,-0.000452,89.96,,,43.69,2.3,-2.3,5.74,1.29,-0.93,0.1404,,,1051.0,,,288.04,166.34,-97.18,5248.0,68.0,-73.0,3.523,0.117,-0.143,-0.58,0.15,-0.15,2.892,0.648,-0.471,1.017,0.197,-0.148,,,
8752940,CANDIDATE,9.07829171,4.619e-05,-4.619e-05,0.0,,,,,,0.164,0.406,-0.164,0.783,0.164,-0.164,530.9,99.5,-99.5,0.020947,0.005372,-0.001552,89.89,,,89.3,42.2,-42.2,3.69,1.76,-1.77,0.0838,,,984.0,,,221.32,339.83,-168.97,5086.0,192.0,-174.0,4.002,0.526,-0.283,0.3,0.15,-0.25,1.611,0.771,-0.771,0.951,0.095,-0.127,,,
10873178,CANDIDATE,4.82025124,5.532e-05,-5.532e-05,0.0,,,,,,0.538,0.008,-0.497,2.129,0.422,-0.422,94.1,21.4,-21.4,0.009212,0.0012,-0.001074,87.91,,,14.78,7.4,-7.4,0.78,0.18,-0.05,0.0531,,,1018.0,,,254.2,169.7,-57.32,6035.0,164.0,-182.0,4.591,0.028,-0.171,-0.74,0.25,-0.3,0.777,0.174,-0.05,0.864,0.073,-0.097,,,
6962109,CONFIRMED,17.13263125,7.892e-05,-7.892e-05,0.0,,,,,,0.298,0.153,-0.298,3.0555,0.0958,-0.0958,850.2,37.4,-37.4,0.026597,0.000837,-0.000905,89.59,,,42.09,9.2,-9.2,2.31,0.51,-0.22,0.1242,,,611.0,,,32.91,23.07,-9.33,5477.0,182.0,-182.0,4.578,0.036,-0.144,-0.16,0.3,-0.3,0.794,0.176,-0.075,0.876,0.083,-0.102,,,
6049190,CONFIRMED,70.468171,0.000268,-0.000268,0.0,,,,,,0.031,0.433,-0.031,6.653,0.12,-0.12,922.4,23.9,-23.9,0.027996,0.000833,-0.000499,89.98,,,83.15,1.4,-1.4,3.46,1.11,-0.37,0.3512,,,511.0,,,16.17,14.92,-4.98,6461.0,158.0,-225.0,4.396,0.067,-0.202,-0.14,0.25,-0.3,1.131,0.363,-0.121,1.162,0.164,-0.164,,,
3346543,CANDIDATE,12.4701111,0.0001809,-0.0001809,0.0,,,,,,0.569,0.402,-0.374,3.616,0.465,-0.465,89.7,13.4,-13.4,0.008943,0.000912,-0.000565,88.51,,,21.96,9.7,-9.7,2.06,0.31,-0.61,0.1126,,,1074.0,,,313.87,128.52,-166.14,5623.0,93.0,-67.0,3.877,0.233,-0.078,0.16,0.15,-0.15,2.109,0.314,-0.627,1.221,0.104,-0.193,,,
5385469,FALSE POSITIVE,12.422524,0.001235,-0.001235,0.0,,,,,,0.566,0.418,-0.359,13.55,1.6,-1.6,33.9,6.0,-6.0,0.005564,0.000489,-0.000577,84.47,,,5.87,1.3,-1.3,0.86,0.31,-0.11,0.1173,,,1107.0,,,354.37,392.42,-129.89,7225.0,228.0,-314.0,4.281,0.072,-0.217,-0.12,0.25,-0.4,1.414,0.515,-0.184,1.397,0.218,-0.196,,,
10028792,CANDIDATE,8.9772888,0.0001451,-0.0001451,0.0,,,,,,0.702,0.269,-0.5,4.72,0.31,-0.31,97.5,10.0,-10.0,0.009644,0.003487,-0.000885,86.2,,,10.58,4.1,-4.1,1.79,0.15,-0.13,0.0836,,,1113.0,,,362.75,100.8,-72.55,5597.0,112.0,-101.0,3.963,0.054,-0.045,-0.18,0.15,-0.15,1.699,0.147,-0.123,0.969,0.084,-0.063,,,
4284980,FALSE POSITIVE,2.2430415,4.874e-05,-4.874e-05,0.0,,,,,,0.147,0.313,-0.147,3.63,0.73,-0.73,101.1,15.6,-15.6,0.009195,0.000724,-0.000929,88.22,,,4.75,0.778,-0.778,0.89,0.28,-0.09,0.0334,,,1344.0,,,770.18,720.68,-231.6,5897.0,186.0,-206.0,4.531,0.037,-0.213,-0.16,0.3,-0.3,0.891,0.274,-0.091,0.983,0.12,-0.132,,,
