group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth_ppm,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
5436502,1,6.15560285,0.0,0.235,4.9843,285.0,0.015336,88.56,9.34,2.32,0.0676,1146.0,406.94,5739.0,4.191,0.3,1.384,1.083
5436502,1,2.090811305,0.0,0.746,3.388,115.9,0.010686,77.03,3.32,1.62,0.0329,1642.0,1718.04,5739.0,4.191,0.3,1.384,1.083
5436502,1,50.4467417,0.0,0.379,7.159,370.3,0.01767,89.57,50.9,2.67,0.2747,568.0,24.64,5739.0,4.191,0.3,1.384,1.083
5456651,1,11.76307164,0.0,0.048,2.9076,1037.3,0.028519,89.91,31.76,2.35,0.0954,616.0,33.99,4959.0,4.603,0.16,0.756,0.849
5456651,1,56.2279271,0.0,0.7,3.57,862.7,0.028683,89.56,90.7,2.37,0.2707,366.0,4.22,4959.0,4.603,0.16,0.756,0.849
5531576,1,7.953547,0.0,0.3,2.6312,875.4,0.026448,89.24,22.68,2.25,0.0712,696.0,55.37,4768.0,4.536,0.18,0.779,0.759
5531576,1,4.14451656,0.0,0.004,2.3421,391.8,0.017441,89.99,13.767,1.48,0.0461,864.0,132.08,4768.0,4.536,0.18,0.779,0.759
5534814,0,4.859386384,0.0,1.259,2.2757,6044.3,0.355227,81.27,8.29,38.33,0.0571,1114.0,364.23,6072.0,4.47,-0.1,0.988,1.05
6291653,1,10.526294577,0.0,0.644,2.5211,9768.0,0.095143,88.69,28.26,8.24,0.088,713.0,61.16,5386.0,4.553,-0.2,0.793,0.82
6422070,1,3.76181843,0.0,0.926,3.5176,510.6,0.025656,75.62,3.73,2.66,0.047,1121.0,372.62,5653.0,4.472,0.1,0.949,0.974
5792202,1,6.54626149,0.0,0.644,2.75,655.9,0.024555,87.46,14.52,2.19,0.0668,810.0,101.78,5251.0,4.581,0.21,0.817,0.926
5794379,1,12.71809866,0.0,0.427,3.0957,1149.4,0.030871,89.17,29.5,2.31,0.0934,562.0,23.6,4702.0,4.592,-0.22,0.686,0.67
5794379,1,36.06588163,0.0,0.26,4.3246,1563.8,0.035281,89.77,63.84,2.64,0.1871,397.0,5.88,4702.0,4.592,-0.22,0.686,0.67
5881688,1,4.190425659,0.0,0.458,2.8589,2877.4,0.050076,87.52,10.6,6.21,0.0535,1234.0,547.9,6073.0,4.392,0.2,1.135,1.163
6061119,1,27.807566216,0.0,0.782,4.21587,25391.0,0.161479,88.96,43.26,13.84,0.1711,554.0,22.24,5862.0,4.584,-0.52,0.785,0.865
6191521,1,80.8723469,0.0,0.527,11.195,3604.6,0.056129,89.4,50.5,7.59,0.3577,452.0,9.88,5510.0,4.222,0.16,1.238,0.932
6267425,0,3.166465862,0.0,1.266,2.9381,4357.2,0.348902,71.8,4.05,26.82,0.0371,954.0,196.31,4968.0,4.575,-0.36,0.704,0.68
6276477,1,10.35533116,0.0,0.029,3.1775,750.6,0.024674,89.93,25.51,2.47,0.0895,777.0,86.22,5501.0,4.462,0.02,0.918,0.891
6863998,1,16.08518937,0.0,0.867,3.984,1442.4,0.040767,87.21,17.79,3.68,0.1173,613.0,33.43,5239.0,4.523,0.0,0.826,0.83
6948054,1,7.49018305,0.0,0.02,2.7297,1123.6,0.029843,89.95,21.59,2.56,0.0703,753.0,76.06,5103.0,4.562,0.04,0.787,0.823
6948054,1,36.2761238,0.0,0.035,4.7865,1572.6,0.035273,89.97,59.91,3.03,0.2012,445.0,9.29,5103.0,4.562,0.04,0.787,0.823
6948054,1,17.46087931,0.0,0.594,2.2641,812.4,0.026969,89.31,49.3,2.32,0.1236,568.0,24.6,5103.0,4.562,0.04,0.787,0.823
6435936,1,56.0560754,0.0,0.018,4.685,1626.0,0.036134,89.99,94.7,1.94,0.228,233.0,0.69,3593.0,4.757,0.26,0.491,0.503
6522242,1,41.408316686,0.0,0.377,5.0264,22839.0,0.139516,89.68,67.69,11.38,0.2162,453.0,9.93,5522.0,4.586,-0.46,0.747,0.786
